country,date,confirmed,deaths
Spain,2020-02-01,1,0
Spain,2020-02-02,0,0
Spain,2020-02-03,0,0
Spain,2020-02-04,0,0
Spain,2020-02-05,0,0
Spain,2020-02-06,0,0
Spain,2020-02-07,0,0
Spain,2020-02-08,0,0
Spain,2020-02-09,1,0
Spain,2020-02-10,0,0
Spain,2020-02-11,0,0
Spain,2020-02-12,0,0
Spain,2020-02-13,0,0
Spain,2020-02-14,0,0
Spain,2020-02-15,0,0
Spain,2020-02-16,0,0
Spain,2020-02-17,0,0
Spain,2020-02-18,0,0
Spain,2020-02-19,0,0
Spain,2020-02-20,0,0
Spain,2020-02-21,0,0
Spain,2020-02-22,0,0
Spain,2020-02-23,0,0
Spain,2020-02-24,0,0
Spain,2020-02-25,4,0
Spain,2020-02-26,7,0
Spain,2020-02-27,2,0
Spain,2020-02-28,17,0
Spain,2020-02-29,13,0
Spain,2020-03-01,39,0
Spain,2020-03-02,36,0
Spain,2020-03-03,45,1
Spain,2020-03-04,57,0
Spain,2020-03-05,37,0
Spain,2020-03-06,141,1
Spain,2020-03-07,100,3
Spain,2020-03-08,173,2
Spain,2020-03-09,400,4
Spain,2020-03-10,622,-4
Spain,2020-03-11,582,12
Spain,2020-03-12,0,-18
Spain,2020-03-13,2955,77
Spain,2020-03-14,1159,-16
Spain,2020-03-15,1407,32
Spain,2020-03-16,2144,-41
Spain,2020-03-17,1806,138
Spain,2020-03-18,2162,-101
Spain,2020-03-19,4053,117
Spain,2020-03-20,2447,6
Spain,2020-03-21,4964,119
Spain,2020-03-22,3394,65
Spain,2020-03-23,6368,142
Spain,2020-03-24,4749,-42
Spain,2020-03-25,9630,342
Spain,2020-03-26,8271,-121
Spain,2020-03-27,7933,55
Spain,2020-03-28,7516,71
Spain,2020-03-29,6875,-23
Spain,2020-03-30,7846,92
Spain,2020-03-31,7967,-165
Spain,2020-04-01,8195,175
Spain,2020-04-02,7947,38
Spain,2020-04-03,7134,-111
Spain,2020-04-04,6969,-101
Spain,2020-04-05,5478,-55
Spain,2020-04-06,5029,6
Spain,2020-04-07,5267,4
Spain,2020-04-08,6278,43
Spain,2020-04-09,5002,-92
Spain,2020-04-10,5051,-21
Spain,2020-04-11,4754,-109
Spain,2020-04-12,3804,78
Spain,2020-04-13,3268,-56
Spain,2020-04-14,2442,-247
Spain,2020-04-15,5103,352
Spain,2020-04-16,7304,-45
Spain,2020-04-17,5891,80
Spain,2020-04-18,887,-646
Spain,2020-04-19,6948,369
Spain,2020-04-20,1536,-11
Spain,2020-04-21,3968,31
Spain,2020-04-22,4211,5
Spain,2020-04-23,4635,5
Spain,2020-04-24,6740,-73
Spain,2020-04-25,3995,11
Spain,2020-04-26,2870,-90
Spain,2020-04-27,2793,43
Spain,2020-04-28,2706,-30
Spain,2020-04-29,4771,152
Spain,2020-04-30,-23464,-185
Spain,2020-05-01,0,-268
Spain,2020-05-02,3147,557
Spain,2020-05-03,884,-393
Spain,2020-05-04,545,0
Spain,2020-05-05,1318,21
Spain,2020-05-06,996,59
Spain,2020-05-07,1122,-31
Spain,2020-05-08,1410,16
Spain,2020-05-09,721,-50
Spain,2020-05-10,772,-36
Spain,2020-05-11,3086,-20
Spain,2020-05-12,594,53
Spain,2020-05-13,661,8
Spain,2020-05-14,849,27137
Spain,2020-05-15,643,-27183
Spain,2020-05-16,515,-34
Spain,2020-05-17,0,-104
Spain,2020-05-18,908,146
Spain,2020-05-19,431,-77
Spain,2020-05-20,518,41
Spain,2020-05-21,482,-58
Spain,2020-05-22,1787,636
Spain,2020-05-23,466,-638
Spain,2020-05-24,482,24
Spain,2020-05-25,-372,-1992
Spain,2020-05-26,859,2201
Spain,2020-05-27,0,-283
Spain,2020-05-28,1647,2
Spain,2020-05-29,658,0
Spain,2020-05-30,664,2
Spain,2020-05-31,251,-2
Spain,2020-06-01,159,-2
Spain,2020-06-02,294,0
Spain,2020-06-03,394,1
Spain,2020-06-04,334,4
Spain,2020-06-05,318,-4
Spain,2020-06-06,332,0
Spain,2020-06-07,240,0
Spain,2020-06-08,167,-1
Spain,2020-06-09,249,0
Spain,2020-06-10,314,0
Spain,2020-06-11,427,0
Spain,2020-06-12,502,0
Spain,2020-06-13,396,0
Spain,2020-06-14,323,0
Spain,2020-06-15,181,0
Spain,2020-06-16,219,0
Spain,2020-06-17,355,0
Spain,2020-06-18,585,0
Spain,2020-06-19,307,1179
Spain,2020-06-20,363,-1172
Spain,2020-06-21,334,-6
Spain,2020-06-22,232,0
Spain,2020-06-23,248,0
Spain,2020-06-24,334,1
Spain,2020-06-25,400,1
Spain,2020-06-26,419,5
Spain,2020-06-27,564,-5
Spain,2020-06-28,301,-1
Spain,2020-06-29,200,1
Spain,2020-06-30,301,6
Spain,2020-07-01,388,0
Spain,2020-07-02,444,-5
Spain,2020-07-03,442,13
Spain,2020-07-04,0,-17
Spain,2020-07-05,0,0
Spain,2020-07-06,1244,3
Spain,2020-07-07,341,1
Spain,2020-07-08,383,0
Spain,2020-07-09,543,1
Spain,2020-07-10,852,-3
Spain,2020-07-11,0,-2
Spain,2020-07-12,0,0
Spain,2020-07-13,2045,3
Spain,2020-07-14,666,0
Spain,2020-07-15,875,1
Spain,2020-07-16,1361,-1
Spain,2020-07-17,1400,1
Spain,2020-07-18,0,-4
Spain,2020-07-19,0,0
Spain,2020-07-20,4581,2
Spain,2020-07-21,1358,0
Spain,2020-07-22,1357,0
Spain,2020-07-23,2615,1
Spain,2020-07-24,2255,0
Spain,2020-07-25,0,-3
Spain,2020-07-26,0,0
Spain,2020-07-27,6361,2
Spain,2020-07-28,1828,0
Spain,2020-07-29,2031,3
Spain,2020-07-30,2789,-3
Spain,2020-07-31,3092,0
Spain,2020-08-01,0,-2
Spain,2020-08-02,0,0
Spain,2020-08-03,8532,27
Spain,2020-08-04,5760,-1
Spain,2020-08-05,2953,-25
Spain,2020-08-06,4088,0
Spain,2020-08-07,4507,2
Spain,2020-08-08,0,-3
Spain,2020-08-09,0,0
Spain,2020-08-10,8618,73
Spain,2020-08-11,3632,-68
Spain,2020-08-12,3172,-7
Spain,2020-08-13,7550,28
Spain,2020-08-14,5479,-14
Spain,2020-08-15,0,-12
Spain,2020-08-16,0,0
Spain,2020-08-17,16269,29
Spain,2020-08-18,5114,-5
Spain,2020-08-19,6671,103
Spain,2020-08-20,7039,-111
Spain,2020-08-21,8148,9
Spain,2020-08-22,0,-25
Spain,2020-08-23,0,0
Spain,2020-08-24,19382,34
Spain,2020-08-25,7117,18
Spain,2020-08-26,7296,-5
Spain,2020-08-27,9658,-22
Spain,2020-08-28,9779,-10
Spain,2020-08-29,0,-15
Spain,2020-08-30,0,0
Spain,2020-08-31,23572,83
Spain,2020-09-01,8115,-25
Spain,2020-09-02,8581,-16
Spain,2020-09-03,8959,-2
Spain,2020-09-04,10476,144
Spain,2020-09-05,0,-184
Spain,2020-09-06,0,0
Spain,2020-09-07,26560,98
